category,April,August,December,February,January,July,June,March,May,November,October,September
Audio,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Automobiles,,,Peak,Low,Low,,,Low,,Peak,Peak,Peak
Baby & Kids Fashion,Peak,,Peak,Low,Low,Low,Low,Peak,Peak,Peak,Peak,Peak
Beauty,,,Peak,Peak,,Low,Low,Low,,Peak,Peak,Peak
Books & Magazines,,Peak,Low,Low,Low,Peak,Peak,,,,,
Cameras & Drones,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Computers & Accessories,,,Peak,Peak,,Low,Low,Low,,Peak,Peak,Peak
Fashion Accessories,Peak,,Peak,Low,Low,Low,Low,Peak,Peak,Peak,Peak,Peak
Food & Beverages,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Gaming & Consoles,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Health,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Hobbies & Collections,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Home & Living,Peak,Low,Peak,,,Low,Low,Peak,Peak,Peak,,
Home Appliances,Peak,Low,Peak,,,Low,Low,Peak,Peak,Peak,,
Men Bags,Peak,Low,Peak,,,Low,Low,Peak,Peak,,,
Men Clothes,Peak,,Peak,Low,Low,Low,Low,Peak,Peak,Peak,Peak,Peak
Men Shoes,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Mobile & Gadgets,,,Peak,Low,Low,,,Low,,Peak,Peak,Peak
Mom & Baby,,,Peak,Low,Low,,,Low,,Peak,,
Motorcycles,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Muslim Fashion,Peak,,Peak,Low,Low,Low,Low,Peak,Peak,Peak,Peak,Peak
Pets,,,Peak,Low,Low,,,,,Peak,Peak,Peak
Sports & Outdoors,Peak,Low,,,,Low,Low,Peak,Peak,,,Low
Stationery,,Peak,Low,Low,Low,Peak,Peak,,,,,
"Tickets, Vouchers & Services",,,Peak,Low,Low,,,,,Peak,Peak,Peak
Travel & Luggage,Peak,Low,Peak,,,Low,Low,Peak,Peak,,,
Watches,,,Peak,Peak,,Low,Low,Low,,Peak,Peak,Peak
Women Bags,Peak,Low,Peak,,,Low,Low,Peak,Peak,,,
Women Clothes,Peak,,Peak,Low,Low,Low,Low,Peak,Peak,Peak,Peak,Peak
Women Shoes,,,Peak,Low,Low,,,,,Peak,Peak,Peak
