category,forecast_date,predicted_sold_per_month
Accessories,2025-12-01,38373677.98
Accessories,2026-01-01,37634495.54
Accessories,2026-02-01,37771404.22
Accessories,2026-03-01,38504379.21
Accessories,2026-04-01,38576794.8
Accessories,2026-05-01,39133403.44
Accessories,2026-06-01,40323223.81
Accessories,2026-07-01,38692064.69
Accessories,2026-08-01,39870125.09
Accessories,2026-09-01,40690325.18
Accessories,2026-10-01,40027512.18
Accessories,2026-11-01,42103119.62
Accessories Sets & Packages,2025-12-01,66603.84
Accessories Sets & Packages,2026-01-01,77519.13
Accessories Sets & Packages,2026-02-01,68912.68
Accessories Sets & Packages,2026-03-01,65542.3
Accessories Sets & Packages,2026-04-01,58786.17
Accessories Sets & Packages,2026-05-01,59690.04
Accessories Sets & Packages,2026-06-01,119257.23
Accessories Sets & Packages,2026-07-01,43636.99
Accessories Sets & Packages,2026-08-01,28188.29
Accessories Sets & Packages,2026-09-01,211146.9
Accessories Sets & Packages,2026-10-01,30073.02
Accessories Sets & Packages,2026-11-01,41059.51
Additional Accessories,2025-12-01,577809.92
Additional Accessories,2026-01-01,712099.5
Additional Accessories,2026-02-01,581582.82
Additional Accessories,2026-03-01,753702.6
Additional Accessories,2026-04-01,650344.49
Additional Accessories,2026-05-01,617949.44
Additional Accessories,2026-06-01,701948.79
Additional Accessories,2026-07-01,455867.44
Additional Accessories,2026-08-01,515300.38
Additional Accessories,2026-09-01,980107.84
Additional Accessories,2026-10-01,798444.76
Additional Accessories,2026-11-01,685427.74
Alcoholic Beverages,2025-12-01,174829.97
Alcoholic Beverages,2026-01-01,155594.7
Alcoholic Beverages,2026-02-01,38641.71
Alcoholic Beverages,2026-03-01,40993.64
Alcoholic Beverages,2026-04-01,38508.55
Alcoholic Beverages,2026-05-01,119376.75
Alcoholic Beverages,2026-06-01,50877.69
Alcoholic Beverages,2026-07-01,2224.86
Alcoholic Beverages,2026-08-01,0.0
Alcoholic Beverages,2026-09-01,0.0
Alcoholic Beverages,2026-10-01,0.0
Alcoholic Beverages,2026-11-01,0.0
Amplifiers & Mixers,2025-12-01,0.0
Amplifiers & Mixers,2026-01-01,0.0
Amplifiers & Mixers,2026-02-01,0.0
Amplifiers & Mixers,2026-03-01,0.0
Amplifiers & Mixers,2026-04-01,0.0
Amplifiers & Mixers,2026-05-01,0.0
Amplifiers & Mixers,2026-06-01,0.0
Amplifiers & Mixers,2026-07-01,0.0
Amplifiers & Mixers,2026-08-01,0.0
Amplifiers & Mixers,2026-09-01,0.0
Amplifiers & Mixers,2026-10-01,0.0
Amplifiers & Mixers,2026-11-01,0.0
Anklets,2025-12-01,325.93
Anklets,2026-01-01,0.0
Anklets,2026-02-01,0.0
Anklets,2026-03-01,0.0
Anklets,2026-04-01,256.01
Anklets,2026-05-01,878.59
Anklets,2026-06-01,1942.31
Anklets,2026-07-01,1307.81
Anklets,2026-08-01,563.9
Anklets,2026-09-01,422.23
Anklets,2026-10-01,0.0
Anklets,2026-11-01,0.0
Art Supplies,2025-12-01,2460271.61
Art Supplies,2026-01-01,2887358.42
Art Supplies,2026-02-01,3320133.02
Art Supplies,2026-03-01,3967090.0
Art Supplies,2026-04-01,4814962.35
Art Supplies,2026-05-01,5839534.4
Art Supplies,2026-06-01,6944676.95
Art Supplies,2026-07-01,7754468.97
Art Supplies,2026-08-01,8985126.84
Art Supplies,2026-09-01,10704774.18
Art Supplies,2026-10-01,12450599.1
Art Supplies,2026-11-01,14528857.41
Audio & Video Cables & Converters,2025-12-01,60448.58
Audio & Video Cables & Converters,2026-01-01,70976.09
Audio & Video Cables & Converters,2026-02-01,70225.13
Audio & Video Cables & Converters,2026-03-01,16436.31
Audio & Video Cables & Converters,2026-04-01,92847.15
Audio & Video Cables & Converters,2026-05-01,342428.43
Audio & Video Cables & Converters,2026-06-01,173292.91
Audio & Video Cables & Converters,2026-07-01,130892.24
Audio & Video Cables & Converters,2026-08-01,173678.85
Audio & Video Cables & Converters,2026-09-01,1162545.1
Audio & Video Cables & Converters,2026-10-01,98822.71
Audio & Video Cables & Converters,2026-11-01,202819.45
Automobile Exterior Accessories,2025-12-01,224567.95
Automobile Exterior Accessories,2026-01-01,216523.09
Automobile Exterior Accessories,2026-02-01,202939.51
Automobile Exterior Accessories,2026-03-01,241841.71
Automobile Exterior Accessories,2026-04-01,259917.77
Automobile Exterior Accessories,2026-05-01,94922.67
Automobile Exterior Accessories,2026-06-01,147031.47
Automobile Exterior Accessories,2026-07-01,194358.7
Automobile Exterior Accessories,2026-08-01,47916.67
Automobile Exterior Accessories,2026-09-01,28273.98
Automobile Exterior Accessories,2026-10-01,146543.57
Automobile Exterior Accessories,2026-11-01,121619.96
Automobile Interior Accessories,2025-12-01,494742.21
Automobile Interior Accessories,2026-01-01,469379.21
Automobile Interior Accessories,2026-02-01,449602.63
Automobile Interior Accessories,2026-03-01,573971.17
Automobile Interior Accessories,2026-04-01,627613.49
Automobile Interior Accessories,2026-05-01,527726.2
Automobile Interior Accessories,2026-06-01,537958.69
Automobile Interior Accessories,2026-07-01,600528.9
Automobile Interior Accessories,2026-08-01,664094.96
Automobile Interior Accessories,2026-09-01,292047.12
Automobile Interior Accessories,2026-10-01,663063.22
Automobile Interior Accessories,2026-11-01,587926.89
Automobile Spare Parts,2025-12-01,1312682.81
Automobile Spare Parts,2026-01-01,1502038.88
Automobile Spare Parts,2026-02-01,1583227.01
Automobile Spare Parts,2026-03-01,2312276.61
Automobile Spare Parts,2026-04-01,2018010.69
Automobile Spare Parts,2026-05-01,2662926.08
Automobile Spare Parts,2026-06-01,2946987.83
Automobile Spare Parts,2026-07-01,2045403.88
Automobile Spare Parts,2026-08-01,1899022.91
Automobile Spare Parts,2026-09-01,3606567.4
Automobile Spare Parts,2026-10-01,1581017.79
Automobile Spare Parts,2026-11-01,1285757.68
Automotive Care,2025-12-01,1196311.13
Automotive Care,2026-01-01,888740.47
Automotive Care,2026-02-01,819493.03
Automotive Care,2026-03-01,1563069.52
Automotive Care,2026-04-01,1415138.7
Automotive Care,2026-05-01,1272208.63
Automotive Care,2026-06-01,612607.26
Automotive Care,2026-07-01,788921.07
Automotive Care,2026-08-01,751257.55
Automotive Care,2026-09-01,0.0
Automotive Care,2026-10-01,1124520.9
Automotive Care,2026-11-01,1045551.38
Automotive Keychains & Key Covers,2025-12-01,40028.52
Automotive Keychains & Key Covers,2026-01-01,45921.7
Automotive Keychains & Key Covers,2026-02-01,39873.61
Automotive Keychains & Key Covers,2026-03-01,45164.16
Automotive Keychains & Key Covers,2026-04-01,78979.72
Automotive Keychains & Key Covers,2026-05-01,41667.96
Automotive Keychains & Key Covers,2026-06-01,39400.86
Automotive Keychains & Key Covers,2026-07-01,39512.81
Automotive Keychains & Key Covers,2026-08-01,97334.62
Automotive Keychains & Key Covers,2026-09-01,132083.77
Automotive Keychains & Key Covers,2026-10-01,50628.68
Automotive Keychains & Key Covers,2026-11-01,75149.61
Automotive Oils & Lubes,2025-12-01,268135.96
Automotive Oils & Lubes,2026-01-01,293729.09
Automotive Oils & Lubes,2026-02-01,267611.44
Automotive Oils & Lubes,2026-03-01,253971.85
Automotive Oils & Lubes,2026-04-01,261437.12
Automotive Oils & Lubes,2026-05-01,355452.02
Automotive Oils & Lubes,2026-06-01,324334.13
