second-level_category,date,residual
Accessories,2022-03-01,1745901.0
Accessories,2022-04-01,143437.56396738975
Accessories,2022-05-01,-186164.7711236747
Accessories,2022-06-01,151713.96109819878
Accessories,2022-07-01,216034.58007711498
Accessories,2022-08-01,-118437.451497111
Accessories,2022-09-01,-783673.2672030707
Accessories,2022-10-01,202985.15109919454
Accessories,2022-11-01,-621446.7162028621
Accessories,2022-12-01,1801314.5512006576
Accessories,2023-01-01,-1014159.4801778942
Accessories,2023-02-01,541789.5443946705
Accessories,2023-03-01,-162302.7603522353
Accessories,2023-04-01,-1712550.2501358548
Accessories,2023-05-01,1571772.1591912555
Accessories,2023-06-01,-1205076.5699130432
Accessories,2023-07-01,998051.2538581709
Accessories,2023-08-01,-496313.85013542883
Accessories,2023-09-01,-108397.91741098603
Accessories,2023-10-01,151636.39393693116
Accessories,2023-11-01,-5790.826330412179
Accessories,2023-12-01,48732.485909443814
Accessories,2024-01-01,155492.90738400398
Accessories,2024-02-01,-775292.1422977862
Accessories,2024-03-01,-1957917.6173565988
Accessories,2024-04-01,2087360.8101873647
Accessories,2024-05-01,143765.65069264453
Accessories,2024-06-01,3147773.5522155636
Accessories,2024-07-01,-6825638.212537266
Accessories,2024-08-01,7100718.027955132
Accessories,2024-09-01,-2788670.812093314
Accessories,2024-10-01,-4283385.933619312
Accessories,2024-11-01,3516649.9845142975
Accessories,2024-12-01,50743.30665694829
Accessories,2025-01-01,-899801.4796265885
Accessories,2025-02-01,-338919.4219725984
Accessories,2025-03-01,-1283991.4117879039
Accessories,2025-04-01,-202237.11532082316
Accessories,2025-05-01,-57488.36229755543
Accessories,2025-06-01,470821.6169817401
Accessories,2025-07-01,-542835.4521541661
Accessories,2025-08-01,3477719.919571005
Accessories,2025-09-01,-2555998.3502185624
Accessories,2025-10-01,11022599.046690376
Accessories,2025-11-01,10569646.77946867
Accessories Sets & Packages,2022-03-01,11575.0
Accessories Sets & Packages,2022-04-01,1957.11574808544
Accessories Sets & Packages,2022-05-01,3377.563959348716
Accessories Sets & Packages,2022-06-01,-1238.2115492666908
Accessories Sets & Packages,2022-07-01,7586.2521189669005
Accessories Sets & Packages,2022-08-01,5642.525565143038
Accessories Sets & Packages,2022-09-01,15337.813514307698
Accessories Sets & Packages,2022-10-01,-8420.33187242637
Accessories Sets & Packages,2022-11-01,-11090.922339591487
Accessories Sets & Packages,2022-12-01,3530.9252166440656
Accessories Sets & Packages,2023-01-01,15266.00710138333
Accessories Sets & Packages,2023-02-01,733.0750921563504
Accessories Sets & Packages,2023-03-01,8956.144999358177
Accessories Sets & Packages,2023-04-01,-11792.950462876172
Accessories Sets & Packages,2023-05-01,-9027.921659834952
Accessories Sets & Packages,2023-06-01,-9526.138713079912
Accessories Sets & Packages,2023-07-01,-6381.220304933058
Accessories Sets & Packages,2023-08-01,-6491.226483595041
Accessories Sets & Packages,2023-09-01,-5334.501050907018
Accessories Sets & Packages,2023-10-01,-3372.2037440655004
Accessories Sets & Packages,2023-11-01,10323.753679213118
Accessories Sets & Packages,2023-12-01,16279.794972212389
Accessories Sets & Packages,2024-01-01,24314.829488202697
Accessories Sets & Packages,2024-02-01,13895.15751235238
Accessories Sets & Packages,2024-03-01,1530.2920219909538
Accessories Sets & Packages,2024-04-01,-907.6072664128078
Accessories Sets & Packages,2024-05-01,-9988.287692612324
Accessories Sets & Packages,2024-06-01,53426.91394949029
Accessories Sets & Packages,2024-07-01,-33195.50754849355
Accessories Sets & Packages,2024-08-01,-33027.103062445894
Accessories Sets & Packages,2024-09-01,138788.2186594973
Accessories Sets & Packages,2024-10-01,-19353.933427450684
Accessories Sets & Packages,2024-11-01,-21077.444162383483
Accessories Sets & Packages,2024-12-01,-12393.680285506678
Accessories Sets & Packages,2025-01-01,-31102.78441736679
Accessories Sets & Packages,2025-02-01,-15958.272297940232
Accessories Sets & Packages,2025-03-01,-24704.620935018218
Accessories Sets & Packages,2025-04-01,52245.94922704441
Accessories Sets & Packages,2025-05-01,-23443.454500101747
Accessories Sets & Packages,2025-06-01,-12416.045773179445
Accessories Sets & Packages,2025-07-01,-22915.79434056874
Accessories Sets & Packages,2025-08-01,79357.35475489209
Accessories Sets & Packages,2025-09-01,48263.72918714007
Accessories Sets & Packages,2025-10-01,101770.76540513482
Accessories Sets & Packages,2025-11-01,14123.058111346065
Additional Accessories,2022-03-01,799432.0
