top-level_category,second-level_category,date,residual
Audio,Amplifiers & Mixers,2022-03-01,0.0
Audio,Amplifiers & Mixers,2022-04-01,0.0
Audio,Amplifiers & Mixers,2022-05-01,0.0
Audio,Amplifiers & Mixers,2022-06-01,0.0
Audio,Amplifiers & Mixers,2022-07-01,0.0
Audio,Amplifiers & Mixers,2022-08-01,0.0
Audio,Amplifiers & Mixers,2022-09-01,3380.0
Audio,Amplifiers & Mixers,2022-10-01,-5529.845622371533
Audio,Amplifiers & Mixers,2022-11-01,7370.272560596614
Audio,Amplifiers & Mixers,2022-12-01,-8206.172291521369
Audio,Amplifiers & Mixers,2023-01-01,10131.503280185612
Audio,Amplifiers & Mixers,2023-02-01,-11717.095656355432
Audio,Amplifiers & Mixers,2023-03-01,24926.554476344776
Audio,Amplifiers & Mixers,2023-04-01,-35925.120917423395
Audio,Amplifiers & Mixers,2023-05-01,31336.79892569528
Audio,Amplifiers & Mixers,2023-06-01,-30124.86848887669
Audio,Amplifiers & Mixers,2023-07-01,29040.166825784072
Audio,Amplifiers & Mixers,2023-08-01,-29628.975706599744
Audio,Amplifiers & Mixers,2023-09-01,28305.10981553386
Audio,Amplifiers & Mixers,2023-10-01,-25638.88605248646
Audio,Amplifiers & Mixers,2023-11-01,21931.823245639735
Audio,Amplifiers & Mixers,2023-12-01,-19583.80741948808
Audio,Amplifiers & Mixers,2024-01-01,16113.251745947842
Audio,Amplifiers & Mixers,2024-02-01,-15566.443494609235
Audio,Amplifiers & Mixers,2024-03-01,2061.0935666837413
Audio,Amplifiers & Mixers,2024-04-01,9636.944771421417
Audio,Amplifiers & Mixers,2024-05-01,-5218.668526180794
Audio,Amplifiers & Mixers,2024-06-01,4283.717840332038
Audio,Amplifiers & Mixers,2024-07-01,-3393.343140775908
Audio,Amplifiers & Mixers,2024-08-01,4230.691535459742
Audio,Amplifiers & Mixers,2024-09-01,-6321.366494606587
Audio,Amplifiers & Mixers,2024-10-01,5544.800108634531
Audio,Amplifiers & Mixers,2024-11-01,-3286.588632153223
Audio,Amplifiers & Mixers,2024-12-01,6528.250091655158
Audio,Amplifiers & Mixers,2025-01-01,-8449.585020269162
Audio,Amplifiers & Mixers,2025-02-01,10519.247647708877
Audio,Amplifiers & Mixers,2025-03-01,-8934.17032122498
Audio,Amplifiers & Mixers,2025-04-01,7058.108042431071
Audio,Amplifiers & Mixers,2025-05-01,-8949.578471323905
Audio,Amplifiers & Mixers,2025-06-01,8005.724016426826
Audio,Amplifiers & Mixers,2025-07-01,-5094.010555874714
Audio,Amplifiers & Mixers,2025-08-01,16824.996256129587
Audio,Amplifiers & Mixers,2025-09-01,56543.64150414164
Audio,Amplifiers & Mixers,2025-10-01,-33814.225151090475
Audio,Amplifiers & Mixers,2025-11-01,-56035.98885262775
Audio,Audio & Video Cables & Converters,2022-03-01,8994.0
Audio,Audio & Video Cables & Converters,2022-04-01,2652.608865050712
Audio,Audio & Video Cables & Converters,2022-05-01,1062.800293417733
Audio,Audio & Video Cables & Converters,2022-06-01,1077.9649780060008
Audio,Audio & Video Cables & Converters,2022-07-01,15152.023662648577
Audio,Audio & Video Cables & Converters,2022-08-01,19480.856064437
Audio,Audio & Video Cables & Converters,2022-09-01,21301.114011152426
Audio,Audio & Video Cables & Converters,2022-10-01,6552.832002437201
Audio,Audio & Video Cables & Converters,2022-11-01,1812.5520739403055
Audio,Audio & Video Cables & Converters,2022-12-01,-680.9158722539032
Audio,Audio & Video Cables & Converters,2023-01-01,-3338.5463134445217
Audio,Audio & Video Cables & Converters,2023-02-01,-2680.1975936969247
Audio,Audio & Video Cables & Converters,2023-03-01,22170.96066337952
Audio,Audio & Video Cables & Converters,2023-04-01,3076.780097885927
Audio,Audio & Video Cables & Converters,2023-05-01,-2849.9953632624783
Audio,Audio & Video Cables & Converters,2023-06-01,-2826.669363765239
Audio,Audio & Video Cables & Converters,2023-07-01,-1025.0427434924477
Audio,Audio & Video Cables & Converters,2023-08-01,-1052.0752071670613
Audio,Audio & Video Cables & Converters,2023-09-01,9465.02281527043
Audio,Audio & Video Cables & Converters,2023-10-01,9899.263851949032
Audio,Audio & Video Cables & Converters,2023-11-01,2309.962982424815
Audio,Audio & Video Cables & Converters,2023-12-01,-3186.8264901136645
Audio,Audio & Video Cables & Converters,2024-01-01,1978.0132386926632
Audio,Audio & Video Cables & Converters,2024-02-01,2588.8060229853327
Audio,Audio & Video Cables & Converters,2024-03-01,-20794.46097039575
Audio,Audio & Video Cables & Converters,2024-04-01,-24843.13075324829
Audio,Audio & Video Cables & Converters,2024-05-01,98342.64547170824
Audio,Audio & Video Cables & Converters,2024-06-01,33218.50787821133
Audio,Audio & Video Cables & Converters,2024-07-01,-54818.58625832481
Audio,Audio & Video Cables & Converters,2024-08-01,-55961.295650638975
Audio,Audio & Video Cables & Converters,2024-09-01,409978.53437468753
Audio,Audio & Video Cables & Converters,2024-10-01,23723.16368760157
Audio,Audio & Video Cables & Converters,2024-11-01,-3673.455987813184
Audio,Audio & Video Cables & Converters,2024-12-01,42664.980619929345
Audio,Audio & Video Cables & Converters,2025-01-01,-28520.120026419143
Audio,Audio & Video Cables & Converters,2025-02-01,-40969.53799645977
Audio,Audio & Video Cables & Converters,2025-03-01,-68953.50453537225
Audio,Audio & Video Cables & Converters,2025-04-01,29998.623817865708
Audio,Audio & Video Cables & Converters,2025-05-01,-26711.05818360098
Audio,Audio & Video Cables & Converters,2025-06-01,-18504.986364970173
Audio,Audio & Video Cables & Converters,2025-07-01,22369.484570566885
Audio,Audio & Video Cables & Converters,2025-08-01,45211.426018736616
Audio,Audio & Video Cables & Converters,2025-09-01,16038.666318950707
Audio,Audio & Video Cables & Converters,2025-10-01,73419.6827038764
Audio,Audio & Video Cables & Converters,2025-11-01,1956.0851776010677
Audio,"Earphones, Headphones & Headsets",2022-03-01,518302.0
Audio,"Earphones, Headphones & Headsets",2022-04-01,9142.134516568449
Audio,"Earphones, Headphones & Headsets",2022-05-01,-45056.74927801575
Audio,"Earphones, Headphones & Headsets",2022-06-01,-2890.725685700134
Audio,"Earphones, Headphones & Headsets",2022-07-01,76336.23308992927
Audio,"Earphones, Headphones & Headsets",2022-08-01,66007.83349972154
Audio,"Earphones, Headphones & Headsets",2022-09-01,-203385.68401345913
Audio,"Earphones, Headphones & Headsets",2022-10-01,-200386.59927660055
Audio,"Earphones, Headphones & Headsets",2022-11-01,-147174.83321349023
Audio,"Earphones, Headphones & Headsets",2022-12-01,331474.2851761874
Audio,"Earphones, Headphones & Headsets",2023-01-01,190964.7043539153
Audio,"Earphones, Headphones & Headsets",2023-02-01,-57078.67065392248
Audio,"Earphones, Headphones & Headsets",2023-03-01,-83817.14061511878
Audio,"Earphones, Headphones & Headsets",2023-04-01,-246167.24364789645
Audio,"Earphones, Headphones & Headsets",2023-05-01,-86067.1845181149
Audio,"Earphones, Headphones & Headsets",2023-06-01,-10552.547849219
Audio,"Earphones, Headphones & Headsets",2023-07-01,119458.1768714544
Audio,"Earphones, Headphones & Headsets",2023-08-01,45784.69610842626
