top-level_category,second-level_category,forecast_date,forecast_sold_per_month
Audio,Amplifiers & Mixers,2025-12-01,0.0
Audio,Amplifiers & Mixers,2026-01-01,0.0
Audio,Amplifiers & Mixers,2026-02-01,0.0
Audio,Amplifiers & Mixers,2026-03-01,0.0
Audio,Amplifiers & Mixers,2026-04-01,0.0
Audio,Amplifiers & Mixers,2026-05-01,0.0
Audio,Amplifiers & Mixers,2026-06-01,0.0
Audio,Amplifiers & Mixers,2026-07-01,0.0
Audio,Amplifiers & Mixers,2026-08-01,0.0
Audio,Amplifiers & Mixers,2026-09-01,0.0
Audio,Amplifiers & Mixers,2026-10-01,0.0
Audio,Amplifiers & Mixers,2026-11-01,0.0
Audio,Audio & Video Cables & Converters,2025-12-01,27604.29
Audio,Audio & Video Cables & Converters,2026-01-01,37382.07
Audio,Audio & Video Cables & Converters,2026-02-01,35677.95
Audio,Audio & Video Cables & Converters,2026-03-01,0.0
Audio,Audio & Video Cables & Converters,2026-04-01,56663.85
Audio,Audio & Video Cables & Converters,2026-05-01,305400.73
Audio,Audio & Video Cables & Converters,2026-06-01,135415.67
Audio,Audio & Video Cables & Converters,2026-07-01,92170.54
Audio,Audio & Video Cables & Converters,2026-08-01,134004.94
Audio,Audio & Video Cables & Converters,2026-09-01,1121854.6
Audio,Audio & Video Cables & Converters,2026-10-01,57093.82
Audio,Audio & Video Cables & Converters,2026-11-01,160092.28
Audio,"Earphones, Headphones & Headsets",2025-12-01,2003193.14
Audio,"Earphones, Headphones & Headsets",2026-01-01,1170460.33
Audio,"Earphones, Headphones & Headsets",2026-02-01,2268325.04
Audio,"Earphones, Headphones & Headsets",2026-03-01,4907645.87
Audio,"Earphones, Headphones & Headsets",2026-04-01,5813117.68
Audio,"Earphones, Headphones & Headsets",2026-05-01,5095239.65
Audio,"Earphones, Headphones & Headsets",2026-06-01,3296308.68
Audio,"Earphones, Headphones & Headsets",2026-07-01,5631189.88
Audio,"Earphones, Headphones & Headsets",2026-08-01,4532873.62
Audio,"Earphones, Headphones & Headsets",2026-09-01,4350433.61
Audio,"Earphones, Headphones & Headsets",2026-10-01,6102286.3
Audio,"Earphones, Headphones & Headsets",2026-11-01,6287502.57
Audio,Home Audio & Speakers,2025-12-01,91765.63
Audio,Home Audio & Speakers,2026-01-01,141497.93
Audio,Home Audio & Speakers,2026-02-01,242306.75
Audio,Home Audio & Speakers,2026-03-01,223333.08
Audio,Home Audio & Speakers,2026-04-01,363142.37
Audio,Home Audio & Speakers,2026-05-01,450346.15
Audio,Home Audio & Speakers,2026-06-01,302063.66
Audio,Home Audio & Speakers,2026-07-01,330042.6
Audio,Home Audio & Speakers,2026-08-01,283201.73
Audio,Home Audio & Speakers,2026-09-01,142946.87
Audio,Home Audio & Speakers,2026-10-01,308920.64
Audio,Home Audio & Speakers,2026-11-01,304002.57
Audio,Media Players,2025-12-01,3529.68
Audio,Media Players,2026-01-01,1056.0
Audio,Media Players,2026-02-01,1524.86
Audio,Media Players,2026-03-01,1534.56
Audio,Media Players,2026-04-01,4055.81
Audio,Media Players,2026-05-01,5658.39
Audio,Media Players,2026-06-01,1901.69
Audio,Media Players,2026-07-01,3070.15
Audio,Media Players,2026-08-01,2190.7
Audio,Media Players,2026-09-01,25039.01
Audio,Media Players,2026-10-01,4007.79
Audio,Media Players,2026-11-01,8623.5
Audio,Microphones,2025-12-01,53094.5
Audio,Microphones,2026-01-01,63654.77
Audio,Microphones,2026-02-01,100430.05
Audio,Microphones,2026-03-01,57568.74
Audio,Microphones,2026-04-01,199065.35
Audio,Microphones,2026-05-01,58533.0
Audio,Microphones,2026-06-01,77998.39
Audio,Microphones,2026-07-01,159050.67
Audio,Microphones,2026-08-01,115221.59
Audio,Microphones,2026-09-01,37630.22
Audio,Microphones,2026-10-01,29885.75
Audio,Microphones,2026-11-01,229847.91
Audio,Others,2025-12-01,21265.28
Audio,Others,2026-01-01,27768.85
Audio,Others,2026-02-01,25198.51
Audio,Others,2026-03-01,18784.41
Audio,Others,2026-04-01,17671.1
Audio,Others,2026-05-01,10987.72
Audio,Others,2026-06-01,14152.26
Audio,Others,2026-07-01,14444.5
Audio,Others,2026-08-01,14837.73
Audio,Others,2026-09-01,14300.21
Audio,Others,2026-10-01,15401.16
Audio,Others,2026-11-01,20981.76
Automobiles,Automobile Exterior Accessories,2025-12-01,244605.79
Automobiles,Automobile Exterior Accessories,2026-01-01,251110.3
Automobiles,Automobile Exterior Accessories,2026-02-01,254665.92
Automobiles,Automobile Exterior Accessories,2026-03-01,311985.83
Automobiles,Automobile Exterior Accessories,2026-04-01,349658.17
Automobiles,Automobile Exterior Accessories,2026-05-01,198665.58
Automobiles,Automobile Exterior Accessories,2026-06-01,267433.31
Automobiles,Automobile Exterior Accessories,2026-07-01,331756.01
Automobiles,Automobile Exterior Accessories,2026-08-01,203523.7
Automobiles,Automobile Exterior Accessories,2026-09-01,176901.59
Automobiles,Automobile Exterior Accessories,2026-10-01,297732.82
Automobiles,Automobile Exterior Accessories,2026-11-01,277252.88
Automobiles,Automobile Interior Accessories,2025-12-01,528866.53
Automobiles,Automobile Interior Accessories,2026-01-01,506846.79
Automobiles,Automobile Interior Accessories,2026-02-01,489638.81
Automobiles,Automobile Interior Accessories,2026-03-01,617193.19
Automobiles,Automobile Interior Accessories,2026-04-01,674012.52
Automobiles,Automobile Interior Accessories,2026-05-01,577838.97
Automobiles,Automobile Interior Accessories,2026-06-01,593886.0
Automobiles,Automobile Interior Accessories,2026-07-01,661906.06
Automobiles,Automobile Interior Accessories,2026-08-01,730598.42
Automobiles,Automobile Interior Accessories,2026-09-01,356257.21
Automobiles,Automobile Interior Accessories,2026-10-01,730424.34
Automobiles,Automobile Interior Accessories,2026-11-01,655138.39
Automobiles,Automobile Spare Parts,2025-12-01,599398.6
Automobiles,Automobile Spare Parts,2026-01-01,2295704.91
Automobiles,Automobile Spare Parts,2026-02-01,889243.62
Automobiles,Automobile Spare Parts,2026-03-01,3113955.42
Automobiles,Automobile Spare Parts,2026-04-01,1326655.35
Automobiles,Automobile Spare Parts,2026-05-01,3458207.04
Automobiles,Automobile Spare Parts,2026-06-01,2267190.47
Automobiles,Automobile Spare Parts,2026-07-01,2851073.21
Automobiles,Automobile Spare Parts,2026-08-01,1222345.53
Automobiles,Automobile Spare Parts,2026-09-01,4425016.1
Automobiles,Automobile Spare Parts,2026-10-01,951138.39
Automobiles,Automobile Spare Parts,2026-11-01,2114691.25
Automobiles,Automotive Care,2025-12-01,1163596.24
Automobiles,Automotive Care,2026-01-01,844204.42
Automobiles,Automotive Care,2026-02-01,773634.1
Automobiles,Automotive Care,2026-03-01,1512729.89
Automobiles,Automotive Care,2026-04-01,1351068.77
Automobiles,Automotive Care,2026-05-01,1201389.19
Automobiles,Automotive Care,2026-06-01,539205.17
Automobiles,Automotive Care,2026-07-01,722004.9
Automobiles,Automotive Care,2026-08-01,687679.14
Automobiles,Automotive Care,2026-09-01,0.0
Automobiles,Automotive Care,2026-10-01,1075541.71
Automobiles,Automotive Care,2026-11-01,1003526.83
Automobiles,Automotive Keychains & Key Covers,2025-12-01,58981.71
Automobiles,Automotive Keychains & Key Covers,2026-01-01,65648.41
Automobiles,Automotive Keychains & Key Covers,2026-02-01,60097.18
Automobiles,Automotive Keychains & Key Covers,2026-03-01,66049.11
Automobiles,Automotive Keychains & Key Covers,2026-04-01,100562.13
Automobiles,Automotive Keychains & Key Covers,2026-05-01,63014.67
Automobiles,Automotive Keychains & Key Covers,2026-06-01,61703.81
Automobiles,Automotive Keychains & Key Covers,2026-07-01,63306.35
Automobiles,Automotive Keychains & Key Covers,2026-08-01,122169.51
Automobiles,Automotive Keychains & Key Covers,2026-09-01,155983.11
Automobiles,Automotive Keychains & Key Covers,2026-10-01,75029.94
Automobiles,Automotive Keychains & Key Covers,2026-11-01,100397.99
Automobiles,Automotive Oils & Lubes,2025-12-01,195222.26
Automobiles,Automotive Oils & Lubes,2026-01-01,260450.6
Automobiles,Automotive Oils & Lubes,2026-02-01,252362.87
Automobiles,Automotive Oils & Lubes,2026-03-01,257442.69
Automobiles,Automotive Oils & Lubes,2026-04-01,282641.44
Automobiles,Automotive Oils & Lubes,2026-05-01,380421.56
Automobiles,Automotive Oils & Lubes,2026-06-01,347379.77
Automobiles,Automotive Oils & Lubes,2026-07-01,298610.75
Automobiles,Automotive Oils & Lubes,2026-08-01,291917.94
Automobiles,Automotive Oils & Lubes,2026-09-01,246185.99
Automobiles,Automotive Oils & Lubes,2026-10-01,196283.49
Automobiles,Automotive Oils & Lubes,2026-11-01,290615.15
Automobiles,Automotive Tools,2025-12-01,196541.38
Automobiles,Automotive Tools,2026-01-01,253580.23
