top_level_category,second_level_category,category_type,season
Audio,Amplifiers & Mixers,UNCOMMON,Rainy Season
Audio,Audio & Video Cables & Converters,COMMON,Christmas Season
Audio,"Earphones, Headphones & Headsets",COMMON,Summer Season
Audio,"Earphones, Headphones & Headsets",COMMON,Christmas Season
Audio,Home Audio & Speakers,COMMON,Christmas Season
Audio,Media Players,UNCOMMON,Rainy Season
Audio,Microphones,UNCOMMON,Back-to-School Season
Audio,Others,UNCOMMON,Rainy Season
Automobiles,Automobile Exterior Accessories,COMMON,Halloween / Undas Season
Automobiles,Automobile Exterior Accessories,COMMON,Rainy Season
Automobiles,Automobile Interior Accessories,COMMON,Back-to-School Season
Automobiles,Automobile Interior Accessories,COMMON,Summer Season
Automobiles,Automobile Spare Parts,UNCOMMON,Rainy Season
Automobiles,Automotive Care,UNCOMMON,Holy Week / Lent Season
Automobiles,Automotive Keychains & Key Covers,UNCOMMON,Back-to-School Season
Automobiles,Automotive Oils & Lubes,COMMON,Rainy Season
Automobiles,Automotive Tools,COMMON,Rainy Season
Baby & Kids Fashion,Baby & Kids Accessories,COMMON,Back-to-School Season
Baby & Kids Fashion,Baby & Kids Accessories,COMMON,Summer Season
Baby & Kids Fashion,Baby Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Baby Mittens & Footwear,UNCOMMON,Halloween / Undas Season
Baby & Kids Fashion,Boy Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Boy Shoes,UNCOMMON,Rainy Season
Baby & Kids Fashion,Girl Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Girl Shoes,UNCOMMON,Back-to-School Season
Beauty,Bath & Body Care,COMMON,Holy Week / Lent Season
Beauty,Bath & Body Care,COMMON,Rainy Season
Beauty,Bath & Body Care,COMMON,Summer Season
Beauty,Beauty Sets & Packages,COMMON,Valentine's Season
Beauty,Beauty Sets & Packages,COMMON,Christmas Season
Beauty,Beauty Tools,UNCOMMON,Back-to-School Season
Beauty,Hair Care,COMMON,Summer Season
Beauty,"Hand, Foot & Nail Care",COMMON,Valentine's Season
Beauty,Makeup,COMMON,Valentine's Season
Beauty,Makeup,COMMON,Halloween / Undas Season
Beauty,Men's Care,UNCOMMON,Rainy Season
Beauty,Perfumes & Fragrances,COMMON,Valentine's Season
Beauty,Perfumes & Fragrances,COMMON,Christmas Season
Beauty,Skincare,COMMON,Summer Season
Beauty,Skincare,COMMON,Christmas Season
Books & Magazines,Books,COMMON,Valentine's Season
Books & Magazines,Books,COMMON,Holy Week / Lent Season
Books & Magazines,Magazines & Newspaper,COMMON,Holy Week / Lent Season
Cameras & Drones,Camera Accessories,COMMON,Back-to-School Season
Cameras & Drones,Camera Accessories,COMMON,Summer Season
Cameras & Drones,Camera Care,UNCOMMON,Valentine's Season
Cameras & Drones,Cameras,COMMON,Christmas Season
Cameras & Drones,Drone Accessories,COMMON,Back-to-School Season
Cameras & Drones,Drone Accessories,COMMON,Summer Season
