top-level_category,second-level_category
Audio,Amplifiers & Mixers
Audio,Audio & Video Cables & Converters
Audio,"Earphones, Headphones & Headsets"
Audio,Home Audio & Speakers
Audio,Media Players
Audio,Microphones
Audio,Others
Automobiles,Automobile Exterior Accessories
Automobiles,Automobile Interior Accessories
Automobiles,Automobile Spare Parts
Automobiles,Automotive Care
Automobiles,Automotive Keychains & Key Covers
Automobiles,Automotive Oils & Lubes
Automobiles,Automotive Tools
Automobiles,Others
Baby & Kids Fashion,Baby & Kids Accessories
Baby & Kids Fashion,Baby Clothes
Baby & Kids Fashion,Baby Mittens & Footwear
Baby & Kids Fashion,Boy Clothes
Baby & Kids Fashion,Boy Shoes
Baby & Kids Fashion,Girl Clothes
Baby & Kids Fashion,Girl Shoes
Baby & Kids Fashion,Others
Beauty,Bath & Body Care
Beauty,Beauty Sets & Packages
Beauty,Beauty Tools
Beauty,Hair Care
Beauty,"Hand, Foot & Nail Care"
Beauty,Makeup
Beauty,Men's Care
Beauty,Others
Beauty,Perfumes & Fragrances
Beauty,Skincare
Books & Magazines,Books
Books & Magazines,Magazines & Newspaper
Books & Magazines,Others
Cameras & Drones,Camera Accessories
Cameras & Drones,Camera Care
Cameras & Drones,Cameras
Cameras & Drones,Drone Accessories
Cameras & Drones,Drones
Cameras & Drones,Lens Accessories
Cameras & Drones,Lenses
Cameras & Drones,Others
Cameras & Drones,Security Cameras & Systems
Computers & Accessories,Data Storage
Computers & Accessories,Desktop & Laptop Components
Computers & Accessories,Desktop Computers
Computers & Accessories,Keyboards & Mice
Computers & Accessories,Laptops
Computers & Accessories,Monitors
Computers & Accessories,Network Components
Computers & Accessories,Office Equipment
Computers & Accessories,Others
Computers & Accessories,Peripherals & Accessories
Computers & Accessories,Printers & Scanners
Computers & Accessories,Softwares
Fashion Accessories,Accessories Sets & Packages
Fashion Accessories,Additional Accessories
Fashion Accessories,Anklets
Fashion Accessories,Belts
Fashion Accessories,Bracelets & Bangles
Fashion Accessories,Earrings
Fashion Accessories,Eyewear
Fashion Accessories,Gloves
